name,puan,fiyat,uzaklık
Hotel Zeynep Sultan,8.8,₺2.053,Kadıköy 9.4 km uzaklıkta
Hotel Premist,8.6,₺1.641,Kadıköy 8.9 km uzaklıkta
Green Parrot Hotel Istanbul,8.6,₺3.490,Kadıköy 9.8 km uzaklıkta
Santa Ottoman Butik,7.2,₺2.967,Kadıköy 10.4 km uzaklıkta
Hotel Sapphire,8.4,₺2.310,Kadıköy 9.5 km uzaklıkta
Marmara Deluxe,8.1,₺1.385,Kadıköy 9.6 km uzaklıkta
Recital Park Hotel,8.4,₺2.937,Kadıköy 9.8 km uzaklıkta
Saba Sultan,9.0,₺2.254,Kadıköy 9.0 km uzaklıkta
Charm,8.0,₺1.700,Kadıköy 9.1 km uzaklıkta
Villa Pera Suite,9.2,₺1.588,Kadıköy 10.7 km uzaklıkta
Hotel Sude Konak,7.6,₺1.830,Kadıköy 9.5 km uzaklıkta
Fairmont Quasar Istanbul,9.1,₺5.272,Kadıköy 11.6 km uzaklıkta
Hotel Golden Crown,7.2,₺1.705,Kadıköy 9.8 km uzaklıkta
Hotel Nomade,8.4,₺2.942,Kadıköy 9.4 km uzaklıkta
CVK Park Bosphorus Hotel Istanbul,8.8,₺8.278,Kadıköy 10.0 km uzaklıkta
Hotel Star Holiday,7.4,₺1.872,Kadıköy 9.4 km uzaklıkta
Royal Galata Hotel,8.4,₺2.666,Kadıköy 10.2 km uzaklıkta
Hotel Avantgarde Levent,8.3,₺3.536,Kadıköy 11.6 km uzaklıkta
Hotel Niles Istanbul,9.3,₺3.607,Kadıköy 10.3 km uzaklıkta
Arena,8.6,₺2.536,Kadıköy 9.6 km uzaklıkta
Seres Hotel,7.8,₺1.770,Kadıköy 9.5 km uzaklıkta
Agora Guesthouse & Hostel,9.2,₺2.216,Kadıköy 9.0 km uzaklıkta
La Vida Hotel,9.4,₺2.213,Kadıköy 9.1 km uzaklıkta
Tzl Suites,9.2,₺6.591,Kadıköy 11.0 km uzaklıkta
Nowy Efendi,8.8,₺2.687,Kadıköy 9.6 km uzaklıkta
Hotel Dencity,7.1,₺1.715,Kadıköy 11.0 km uzaklıkta
Sanat Pera,7.3,₺1.932,Kadıköy 10.6 km uzaklıkta
Golden Royal Cemberlitas,9.2,₺3.552,Kadıköy 9.8 km uzaklıkta
Hotel TurkArt,8.4,₺1.727,Kadıköy 9.1 km uzaklıkta
Broken Column,7.3,₺1.716,Kadıköy 9.0 km uzaklıkta
Villa Zurih,7.4,₺2.113,Kadıköy 10.0 km uzaklıkta
Aruna,7.6,₺1.391,Kadıköy 8.9 km uzaklıkta
Maritime Hotel,7.9,₺2.252,Kadıköy 9.4 km uzaklıkta
Milport Hotel Levent,7.6,₺2.737,Kadıköy 11.6 km uzaklıkta
Albatros Hagia Sophia,7.9,₺2.608,Kadıköy 9.5 km uzaklıkta
Antea Palace,7.9,₺2.437,Kadıköy 9.7 km uzaklıkta
Gulhanepark Hotel,7.6,₺2.293,Kadıköy 9.5 km uzaklıkta
Nish Suite Atasehir,8.2,₺1.678,Kadıköy 10.1 km uzaklıkta
Sirkeci Gar,9.0,₺1.283,Kadıköy 9.7 km uzaklıkta
Nena Istanbul,8.9,₺3.911,Kadıköy 9.6 km uzaklıkta
Taksim Metropark,8.2,₺1.868,Kadıköy 10.2 km uzaklıkta
The Galataport Hotel,6.7,₺1.928,Kadıköy 10.5 km uzaklıkta
Home Stay Home Şişli,8.0,₺2.570,Kadıköy 11.7 km uzaklıkta
Güleç Hotel,7.8,₺2.009,Kadıköy 9.7 km uzaklıkta
Küpeli Hotel,8.7,₺2.133,Kadıköy 9.8 km uzaklıkta
Hotel Ipekyolu,8.2,₺3.065,Kadıköy 8.8 km uzaklıkta
Muyan Suites,9.4,₺2.353,Kadıköy 9.7 km uzaklıkta
Comfort Suite Istiklal,9.0,₺3.610,Kadıköy 10.3 km uzaklıkta
Otel,7.4,₺1.829,Kadıköy 9.5 km uzaklıkta
Sisli The Place Suites,8.1,₺2.014,Kadıköy 11.5 km uzaklıkta
Azade Suites,8.3,₺2.415,Kadıköy 9.0 km uzaklıkta
Grand Halic,6.8,₺1.766,Kadıköy 10.7 km uzaklıkta
Sokullu Paşa Hotel,8.6,₺2.377,Kadıköy 9.6 km uzaklıkta
Kybele,9.1,₺1.752,Kadıköy 9.4 km uzaklıkta
Romance Istanbul Hotel,9.5,₺4.618,Kadıköy 9.5 km uzaklıkta
Hotel Leyenda Istanbul,7.8,₺1.328,Kadıköy 9.8 km uzaklıkta
Hotel Buyukada Cankaya,8.7,₺1.750,Kadıköy 12.6 km uzaklıkta
Amisos The Boutique,8.9,₺2.463,Kadıköy 9.4 km uzaklıkta
Manesol Galata Boutique Hotel,7.6,₺1.299,Kadıköy 10.3 km uzaklıkta
Hipodrom Hotel,7.9,₺2.185,Kadıköy 9.1 km uzaklıkta
Hotel Cartoon,6.3,₺1.799,Kadıköy 10.5 km uzaklıkta
Hypnos Design Hotel,8.8,₺2.366,Kadıköy 9.5 km uzaklıkta
Hotel Selenay,6.9,₺1.301,Kadıköy 10.5 km uzaklıkta
Santa Sophia Sultanahmet,4.8,₺683,Kadıköy 9.8 km uzaklıkta
Czn Burak Hotel,8.2,₺4.831,Kadıköy 10.3 km uzaklıkta
cumbaliplaza,6.3,₺1.199,Kadıköy 11.0 km uzaklıkta
La Pazza Suites,4.4,₺999,Kadıköy 10.2 km uzaklıkta
And,8.4,₺3.449,Kadıköy 9.4 km uzaklıkta
Istanbul Central,7.0,₺1.845,Kadıköy 9.7 km uzaklıkta
Faros Old City,8.3,₺2.903,Kadıköy 9.6 km uzaklıkta
Hotel Emek,7.0,₺1.492,Kadıköy 9.5 km uzaklıkta
Harmony Hotel Istanbul,7.8,₺4.779,Kadıköy 9.5 km uzaklıkta
Aprilis Gold,8.4,₺2.342,Kadıköy 9.9 km uzaklıkta
Magnaura House,8.3,₺2.300,Kadıköy 9.0 km uzaklıkta
